student_number,first_name,middle_name,last_name,suffix,gender,birthdate,email,address,guardian_name,guardian_contact,guardian_email,grade_level_code,section_code,card_uid,status
2026-07001,Althea,Reyes,Bautista,,Female,2013-03-14,,"12 Sampaguita St., Barangay San Roque","Marilou Bautista",09171234501,,G7,G7-RIZAL,,active
2026-07002,Rafael,Cruz,Dimaano,,Male,2013-07-02,,"48 Ilang-Ilang Ave., Barangay Poblacion","Eduardo Dimaano",09171234502,,G7,G7-RIZAL,,active
2026-07003,Bianca,Santos,Villareal,,Female,2013-01-28,,"7 Camia St., Barangay Malinta","Rosalinda Villareal",09171234503,,G7,G7-RIZAL,,active
2026-07004,Miguel,Torres,Aguinaldo,Jr.,Male,2012-11-19,,"221 Rizal Ext., Barangay Bagong Silang","Miguel Aguinaldo",09171234504,,G7,G7-RIZAL,,active
2026-07005,Jasmine,"Delos Reyes",Panganiban,,Female,2013-05-06,,"3 Narra Lane, Barangay Sta. Cruz","Corazon Panganiban",09171234505,,G7,G7-RIZAL,,active
2026-07006,Nathaniel,Ocampo,Salvador,,Male,2013-09-23,,"86 Mabini St., Barangay San Isidro","Teresita Salvador",09171234506,,G7,G7-RIZAL,,active
2026-07007,Kyla,Mercado,Buenaventura,,Female,2013-02-11,,"19 Acacia Rd., Barangay Concepcion","Arnel Buenaventura",09171234507,,G7,G7-RIZAL,,active
2026-07008,Joshua,Ramirez,Trinidad,,Male,2013-06-30,,"54 Bonifacio St., Barangay Talon","Imelda Trinidad",09171234508,,G7,G7-RIZAL,,active
2026-07009,Andrea,Gonzales,Maglaya,,Female,2013-04-17,,"9 Kalachuchi St., Barangay Bayanan","Ferdinand Maglaya",09171234509,,G7,G7-RIZAL,,active
2026-07010,Enrique,Navarro,Castillo,,Male,2012-12-05,,"132 Del Pilar St., Barangay Tibag","Lourdes Castillo",09171234510,,G7,G7-RIZAL,,active
2026-07011,Patricia,Alvarez,Manalo,,Female,2013-08-09,,"27 Dahlia St., Barangay Sto. Niño","Ramon Manalo",09171234511,,G7,G7-RIZAL,,active
2026-07012,Lorenzo,Espiritu,Rivera,,Male,2013-10-21,,"65 Aguinaldo Hwy., Barangay Palapala","Cecilia Rivera",09171234512,,G7,G7-RIZAL,,active
2026-07013,Samantha,Bautista,Gutierrez,,Female,2013-01-03,,"11 Everlasting St., Barangay Maligaya","Danilo Gutierrez",09171234513,,G7,G7-RIZAL,,active
2026-07014,Christian,Aquino,Fajardo,,Male,2013-07-27,,"90 Luna St., Barangay Pinagbuhatan","Editha Fajardo",09171234514,,G7,G7-RIZAL,,active
2026-07015,Nicole,Ferrer,Lagman,,Female,2013-05-15,,"38 Adelfa St., Barangay Kaligayahan","Wilfredo Lagman",09171234515,,G7,G7-RIZAL,,active
